store_id,uptime_last_hour (in minutes),uptime_last_day (in hours),uptime_last_week (in hours),downtime_last_hour (in minutes),downtime_last_day (in hours),downtime_last_week (in hours)
2592126943355649752,58,10,54,0,0,10
949680302610686335,58,12,61,0,0,9
4822254229216039269,58,16,101,0,0,0
3309449187761773285,0,0,52,58,23,90
1475569863135999232,58,23,143,0,0,0
3151564570600703560,58,11,57,0,0,11
7732133846597908384,58,23,139,0,0,4
1083847188438126371,58,12,64,0,0,12
2495220688672274058,58,23,143,0,0,0
3490541069181173173,58,17,69,0,0,38
7947499291373643457,58,11,52,0,0,19
7169121015471617724,58,5,28,0,0,7
3722598133381078210,13,13,69,0,0,13
601325266687606438,0,0,0,58,23,143
7282330070473962428,58,9,47,0,0,9
38331274599366702,58,12,64,0,0,12
5670063460750150662,58,23,143,0,0,0
8910638032748161497,0,0,0,58,23,143
6838242260870199860,58,23,143,0,0,0
8507481768137197886,0,0,0,58,12,72
144582376162315302,59,10,116,0,0,0
4972454081638597196,58,16,101,0,0,0
4305225702261659498,58,12,64,0,0,13
7312749566689098421,58,13,83,0,0,0
1941333982824983669,58,23,143,0,0,0
542395568546754892,0,12,64,0,0,12
4099354590371662660,0,0,20,58,12,58
2669415856469234059,58,23,143,0,0,0
4296659509424391041,59,23,143,0,0,0
5244924453740509357,0,12,64,0,0,12
8591996846305597780,58,23,141,0,0,2
4977981470670414285,0,0,47,58,7,31
4677369758338532790,58,9,52,0,0,10
7197388514947743952,58,11,59,0,0,12
2429826638627036652,58,11,57,0,0,11
4336560822635846731,58,13,69,0,0,13
1060179255899616212,58,16,101,0,0,0
4294215649883136802,58,23,143,0,0,0
8746449799072898935,58,15,77,0,0,14
6602066851781529596,0,0,0,13,11,71
3427928602063028232,58,15,77,0,0,14
3417376056309540963,0,4,31,0,5,25
695595562075228610,59,23,143,0,0,0
1999256227161107821,58,23,143,0,0,0
7926182595291888085,58,12,63,0,0,12
3376119744054624195,58,14,89,0,0,0
5286830220724586265,58,15,95,0,0,0
965669707773978228,0,10,48,0,0,10
5147632434109515245,58,14,89,0,0,0
5258043612552854471,0,0,0,58,23,143
849398791613243870,58,16,101,0,0,0
8748478919548680040,58,14,69,0,0,11
7661758784929916878,58,13,75,0,0,0
7272272039533023798,0,0,0,58,23,143
280641348777919142,0,0,0,58,9,46
7151575294756754100,58,12,64,0,0,12
259693267266088361,58,22,136,0,1,7
6270050472876571524,13,12,64,0,0,12
673868605448349878,0,0,36,58,23,106
4681787339083061782,0,0,39,0,6,32
1136959594363361613,58,23,143,0,0,0
4123201327877188170,58,13,77,0,0,0
1283993332179817849,0,0,9,58,12,67
2162527635477153553,0,0,0,0,11,70
757369495025202880,58,12,73,0,0,0
8358141866750934699,58,12,77,0,0,0
6787823264176736069,58,9,49,0,0,9
150190987832295679,58,10,76,0,0,0
3746977410893363659,13,13,69,0,0,13
6975655296038184230,0,0,57,58,15,34
2543702618684693657,58,17,105,0,0,0
7369529658416201360,58,23,143,0,0,0
6639272444235640990,58,16,96,0,0,0
3354887997682485461,58,23,143,0,0,0
4433999145796767669,13,13,64,0,0,9
8228976197477943518,58,10,54,0,0,11
7924710911256592678,0,0,9,58,10,54
5526191133038762148,58,23,143,0,0,0
251178014192795913,58,8,44,0,0,9
290924358670002028,13,13,69,0,0,13
6551574282689986213,58,13,67,0,0,13
4978347295065501699,58,9,59,0,2,14
4509437859387399399,0,0,0,58,15,48
7359316090119129836,58,13,67,0,0,7
3736020474948612623,58,23,143,0,0,0
7836792050112816238,58,12,64,0,0,13
7971969759979894039,0,0,0,58,12,74
7555688063789725141,0,0,14,13,13,62
4243492327122928077,58,23,113,0,0,29
7380637874221638851,0,0,0,59,15,95
2793153748670138014,0,0,0,58,17,107
6155383995939773335,0,0,0,59,23,143
1682410174079322921,58,12,77,0,0,0
8588363503810828914,58,9,50,0,0,8
2575199723503992910,0,0,22,58,13,61
4159576169208278958,58,8,40,0,0,7
3559422423192402801,58,23,143,0,0,0
38128898926494958,58,16,101,0,0,0
3911189328881936765,58,17,105,0,0,0
7542982131414874146,58,18,113,0,0,0
1392654270580334981,58,23,143,0,0,0
1686750431373045769,58,23,143,0,0,0
3881638612601009783,58,23,141,0,0,2
5662932632894687495,58,13,121,0,10,21
1613282803503313704,58,23,143,0,0,0
668776107595557135,58,23,141,0,0,2
1545115525542478807,0,0,9,58,10,56
456141811842645932,58,5,61,0,0,14
1334615109344502126,13,10,53,0,0,10
4323299380755856121,58,16,92,0,0,0
3792347547943752958,0,0,0,58,12,76
6280489074555181325,58,13,77,0,0,0
3969181628165165679,58,13,67,0,0,13
9152167729157566000,0,0,0,0,12,72
3979734616819094992,58,23,143,0,0,0
1632058232001786225,58,9,49,0,0,9
8881422989224512468,0,0,0,0,12,72
3655250411246040457,0,0,0,58,9,58
2885938719755499337,58,22,138,0,1,5
2930875376885155428,58,14,71,0,0,12
4069586744659689998,58,23,143,0,0,0
8920723645509908215,0,0,0,13,4,29
1288021500272932342,0,0,77,0,5,5
5076879737256179403,58,23,143,0,0,0
1771730855623921617,0,1,26,58,14,66
5148120740979132855,59,13,67,0,0,13
993882694929814221,58,8,46,0,0,8
2501525336913723952,0,0,9,58,10,59
3266261351669573692,13,13,69,0,0,13
3343213184730203867,58,11,59,0,0,12
6243158194238662355,59,13,83,0,0,0
5056811488825451075,58,23,143,0,0,0
7633697021858808601,58,17,106,0,0,0
1972407304428112957,0,13,26,58,3,31
4541429140843463778,0,0,9,58,12,67
5780813717310121743,58,23,143,0,0,0
6187259556105262192,58,9,73,0,0,0
8318429996421536683,0,0,0,58,23,143
599471361420330580,58,12,78,0,0,0
1004734158580760410,0,0,0,58,23,143
6285181555401537733,58,14,82,0,0,0
3210742632683978338,13,9,49,0,0,10
3460261978751583459,0,0,14,13,13,63
1434705480553657753,59,23,143,0,0,0
7506757311218522218,0,0,0,58,23,143
2590038656305706364,58,10,54,0,0,11
2313029939906411250,13,9,73,0,0,0
2378940157071248391,0,5,20,0,0,9
477610714184532373,0,0,23,0,4,20
216716787515611232,58,9,72,0,0,0
4773233943961929400,58,11,69,0,0,0
4834448181781672657,0,0,0,58,23,143
3275935706324051874,58,14,72,0,0,10
5235367468932953781,58,11,38,0,0,5
8752851774582247374,13,9,47,0,0,9
3672962183126915097,58,10,57,0,0,9
5953844276513164759,0,9,47,0,0,9
4915991978883327925,58,23,143,0,0,0
512411722283237771,0,0,44,58,23,99
5748443120724306083,58,23,140,0,0,3
6626583690575420636,0,0,0,0,12,77
8090380111679762878,58,23,143,0,0,0
6357011602999941939,0,0,0,59,10,56
1685764700981128841,58,23,143,0,0,0
3385296049505162076,0,0,0,58,23,143
2177931033964197696,0,12,61,0,0,12
4851807345013959006,58,12,64,0,0,12
2452055218158125590,58,15,102,0,2,3
2298243529894105619,58,11,60,0,0,12
4953746467243872212,58,9,48,0,0,8
3929444120504815341,0,12,64,0,0,12
1041483507949914259,58,23,143,0,0,0
651918570438727132,58,23,143,0,0,0
4781533602035814402,0,12,61,0,0,12
462371174123670682,58,16,98,0,0,0
3396099702754121941,58,13,83,0,0,0
5708935501912909192,58,8,51,0,0,0
2645754712558739417,0,0,0,58,11,73
4015053558965400322,58,23,143,0,0,0
3864268175084723937,13,9,74,0,0,0
8514792422753243190,59,13,96,0,10,47
968932669103961581,58,23,143,0,0,0
4664919917225425354,0,0,0,58,12,76
6671072435420131454,58,23,143,0,0,0
2159953063711618405,0,4,31,0,5,25
345417740273370514,58,14,72,0,0,14
141753187992730294,58,23,143,0,0,0
7676402678061186062,58,13,83,0,0,0
3274675183619325096,58,23,143,0,0,0
6914543985318280950,58,12,71,0,0,12
644860652831162771,58,23,143,0,0,0
6759249725872725510,58,14,72,0,0,14
3007760278802474355,58,8,44,0,0,9
4181601143267258410,13,13,69,0,0,13
4857754268090599674,0,0,0,58,11,59
2629214850687686775,58,12,64,0,0,12
6735445287194908314,13,10,53,0,0,10
3506212080619365659,58,8,42,0,0,8
5919278383349071331,0,12,64,0,0,12
3991335037433588989,0,0,0,58,10,65
64920356735768709,0,0,8,58,7,36
6463380876787213031,0,0,0,0,12,72
2695745960387144634,58,15,94,0,0,0
4486545310258739371,58,9,51,0,0,10
5175412433396420550,58,23,140,0,0,3
6539309355712336455,58,12,61,0,0,9
7021500612894836629,0,0,9,0,9,45
6363667696664616107,58,14,69,0,0,14
8359282023846930411,58,7,40,0,0,8
3786538689556554382,0,0,1,58,5,34
5856541601427897656,0,0,0,58,23,143
7202805746207739744,58,23,143,0,0,0
571481271919627957,0,0,0,58,13,81
3881822452045203420,0,0,0,58,23,143
2386880939083315957,58,12,73,0,0,0
4090851691588924637,58,23,143,0,0,0
2501562347426684945,0,0,0,58,10,76
1678415024862242015,13,11,57,0,0,11
7955802033660780158,0,0,8,45,7,34
4620225145700168337,58,23,143,0,0,0
5791234829650649715,58,23,143,0,0,0
53349634998912079,0,0,0,58,23,143
5172683340926528202,58,18,96,0,0,0
7078029566348509051,59,23,143,0,0,0
3063094144906689583,58,16,92,0,0,0
3893927044007815248,58,23,143,0,0,0
5257304808405339387,0,0,8,58,10,56
5856207430251169662,58,9,55,0,0,10
4272645427209802326,58,15,94,0,0,0
8473875410797030564,0,0,0,58,11,73
3655650613250267458,13,8,44,0,0,9
2738345226327614168,0,7,38,58,16,104
1931194103037136223,59,23,143,0,0,0
6815851310669318930,58,14,83,0,0,13
2970802493454433645,0,0,0,58,16,87
2457472429024014716,0,0,0,58,23,143
8956479198572544923,58,23,143,0,0,0
5625751407379625810,0,11,46,0,0,23
5400449062227182519,58,23,143,0,0,0
8444136742823051302,58,23,143,0,0,0
3324057671529967643,58,9,49,0,0,8
2984530959366002111,58,16,101,0,0,0
5566553151612438910,0,20,112,58,2,31
9093184199664355954,0,0,0,58,23,143
8379971763753814428,58,16,101,0,0,0
6534559346791485439,58,9,73,0,0,0
3743279723291384813,59,17,107,0,0,0
6108614561970550239,0,0,0,58,23,143
8377637253278141924,59,4,29,0,0,4
6782621807755068702,58,23,143,0,0,0
4356573990431825835,58,11,59,0,0,12
8262842442210429768,58,23,141,0,0,2
7247998166617158845,13,13,69,0,0,13
5393604524886257182,58,12,71,0,0,0
6780601474992343065,58,23,143,0,0,0
1021481785936132445,58,23,143,0,0,0
2749418230025200583,13,13,69,0,0,13
7471829171994584782,58,23,140,0,0,3
2362172466422093393,0,0,9,0,7,31
8290301463563317096,0,0,7,58,9,50
1543497001019734099,0,12,64,0,0,12
5599805648537780635,58,23,139,0,0,4
3119561459267159151,58,23,143,0,0,0
8488950128828023892,58,23,143,0,0,0
1392123944441082163,58,23,143,0,0,0
5038183005548056619,59,23,143,0,0,0
3269555149518264233,58,13,77,0,0,0
3091451670396868844,0,0,0,58,23,143
3349955857880974959,0,0,13,58,15,81
6679051477112769133,58,15,77,0,0,14
2727145861871886117,58,23,140,0,0,3
530471707724801656,0,0,0,58,11,71
689188149937790762,58,23,143,0,0,0
8949140040285361719,0,0,0,58,14,79
3502386599144098827,0,0,0,58,17,107
6213851881098532412,58,12,63,0,0,11
730310725961419049,58,11,61,0,0,12
2330927849624990929,58,7,79,0,0,0
5833493366658181332,58,12,64,0,0,12
7732478311106769616,58,6,38,0,0,0
3756464757092735225,0,0,9,58,8,41
193219532417572392,0,0,0,58,13,78
8720370062349787162,59,23,143,0,0,0
1673369251688803542,58,23,142,0,0,1
3970288058545063207,58,11,57,0,0,7
4707317010250938700,0,8,48,0,0,16
6511441932735915963,58,13,65,0,0,13
1290920775563666224,58,12,64,0,0,12
8291186860021590060,58,23,143,0,0,0
6037050074272178059,58,23,143,0,0,0
7899691756043177767,58,23,143,0,0,0
9021704785002140475,58,21,66,0,0,9
4765299198835492208,58,9,48,0,0,7
6334610233846936840,58,23,143,0,0,0
2085252818798794441,58,8,44,0,0,9
8683634111660142120,0,9,50,0,0,9
4511611461447608281,0,10,41,0,0,12
3623710220149720782,58,23,142,0,0,1
4670600325857127004,59,23,143,0,0,0
7647589410640049288,13,13,69,0,0,13
1741127706197624914,58,16,101,0,0,0
5999544536180287374,13,10,75,0,0,0
4109370227323370724,58,23,140,0,0,2
2884126734815245596,58,11,59,0,0,12
7053354105608643605,0,0,32,58,8,34
2690458306432819602,0,0,20,58,10,45
6181570998930346129,0,0,0,58,23,143
6696287750085874884,58,15,79,0,0,15
3148424989432495130,58,5,71,0,0,0
5075854033173152144,58,16,101,0,0,0
804149445326897104,0,0,54,58,23,89
5130517449043818815,0,0,13,58,13,71
9110257541249957325,58,23,143,0,0,0
7899520419014490927,58,17,107,0,0,0
5294595879709535120,0,1,13,0,11,63
1935319436437067672,58,23,143,0,0,0
2594173285337178606,58,8,71,0,0,0
5250473552411021215,58,22,127,0,1,3
1914838051516450190,58,9,77,0,0,10
3590421771691389490,0,0,0,0,9,66
2517492767037996789,58,8,44,0,0,9
7728530608702456871,0,0,0,58,23,143
6894469077947931559,58,23,143,0,0,0
4208130133022584328,58,23,143,0,0,0
4220949534225371423,13,13,69,0,0,13
4401603917454685829,58,9,49,0,0,8
3618391040913098956,58,23,143,0,0,0
5524798464292066453,58,8,46,0,0,7
7694590157437200380,58,16,63,0,0,0
1040732551176103056,58,11,58,0,0,10
5959131204362887425,0,0,22,58,13,61
6471352990959035027,58,12,64,0,0,12
5590194849938294735,58,12,62,0,0,11
6909672237651171420,0,0,0,58,12,77
6774881478182023221,58,23,143,0,0,0
834923670257554083,58,23,119,0,0,23
8549361458818026633,0,12,51,0,0,25
4198224517543875829,58,13,74,0,0,0
1429876481304401879,0,0,44,58,23,99
8105787185477488922,0,0,0,58,15,95
5404282220182335037,58,23,143,0,0,0
1212129555023726964,58,23,143,0,0,0
1579791269050644171,58,12,64,0,0,13
6160905947812224243,13,13,69,0,0,13
6093875590243270286,58,15,95,0,0,0
2594115075249930979,0,0,6,0,6,37
7416476262975772286,58,22,138,0,1,5
2597779520910704195,13,10,53,0,0,10
8005004990790635231,58,8,42,0,0,7
1268521067419463587,58,6,38,0,0,0
2871150763618303910,58,13,77,0,0,0
3590870597372017890,0,17,109,58,5,34
6073415468232865080,58,23,143,0,0,0
8141350446314116872,59,11,59,0,0,12
6534611790936872275,58,5,61,0,0,14
1886631449942874670,0,4,29,58,2,7
9062987350671531531,0,9,38,0,0,19
5908035410348459972,0,0,0,58,23,143
617268570704091176,58,13,67,0,0,11
3877708758432719766,59,23,143,0,0,0
238655432931047196,58,23,143,0,0,0
333363422900954809,0,10,45,0,0,13
2678802287161480395,58,23,143,0,0,0
5658095063472105077,0,0,0,58,13,75
8199642993458117137,58,22,138,0,1,5
9126641881664734775,0,0,0,0,11,62
6422315512493867587,58,13,77,0,0,0
8932058732094518938,58,11,57,0,0,11
8754037299794781932,58,23,142,0,0,1
3754619868438886485,0,11,55,0,0,11
5181897949182806581,0,12,64,0,0,12
7478014457302391612,0,0,8,58,10,56
1800856585254576127,58,16,101,0,0,0
3934545992071501754,0,0,0,58,23,143
6811083803735607748,0,0,0,58,6,46
4385931885221086411,58,16,98,0,0,0
2514517474028888256,58,13,77,0,0,0
71642071084075706,0,0,13,13,13,63
2230549546472382567,0,8,26,0,0,21
4783594666522589213,59,13,67,0,0,13
1844634700341116464,58,13,67,0,0,13
7025508034998115071,58,7,59,0,0,0
1012964275950235204,58,12,65,0,0,12
2911490567153744978,0,0,39,0,6,32
2240093105897642438,58,9,42,0,0,5
7048905833395581738,58,23,135,0,0,8
2664619689278228595,58,23,143,0,0,0
1466694428342709082,58,23,96,0,0,34
2375202759215459913,58,23,120,0,0,0
3778051141133636018,58,23,143,0,0,0
6936900545950248800,58,23,143,0,0,0
2912564906335020806,58,11,61,0,0,12
6524316574424179862,58,14,86,0,0,0
2194793020794613152,0,0,0,58,23,143
898171692156110905,0,6,31,0,0,18
6056054983606273575,58,14,74,0,0,15
361716544185527290,58,23,143,0,0,0
9093484974442869673,0,0,0,13,11,65
5301149089444945306,0,0,0,0,0,0
6779335313859455035,58,23,141,0,0,2
79610494098791827,13,13,69,0,0,13
2144404441139574557,0,0,6,58,9,50
1078614651853409853,0,0,0,58,23,143
4904183169858519628,58,23,109,0,0,34
1589868723132088414,0,0,0,58,17,107
3685497449056565539,58,12,88,0,0,0
2054851869429909191,58,23,143,0,0,0
6744532512352125656,58,23,143,0,0,0
2822332228064325947,58,23,143,0,0,0
4733651425173816800,58,9,51,0,0,10
2504779327876790449,58,21,135,0,2,8
8544584557877468391,58,17,100,0,0,0
1149791945071476024,58,9,46,0,0,6
6517163306061316173,58,14,72,0,0,14
2155430267808979977,58,11,61,0,0,12
8784116735497512892,58,23,143,0,0,0
5409527894414643606,0,0,0,0,12,72
3763338627719815738,58,11,56,0,0,11
7632968535709171812,58,23,143,0,0,0
2832816835981192335,59,13,67,0,0,13
5750671646927722816,59,23,143,0,0,0
6144930269141398252,58,11,47,0,0,24
8146264845340226394,58,15,95,0,0,0
9099453772619666665,0,2,55,0,0,0
6938518495491837494,0,0,0,58,9,56
3907104624219954253,59,13,67,0,0,13
4499908130681023613,58,13,74,0,0,0
3815439093006914422,58,8,46,0,0,9
6692705765111213294,0,0,0,58,9,73
2931285897915688891,0,0,15,58,10,47
9066718723625546539,58,8,73,0,0,0
4310662480582987576,58,15,76,0,0,14
339341849757536438,0,0,0,58,23,143
1237832351878275948,58,7,63,0,0,0
7432416292069455942,58,23,143,0,0,0
1353825526541723319,0,9,45,0,0,9
6182221449343495167,0,0,0,13,10,63
7627757745553126748,58,7,47,0,0,0
2452717985654794252,0,0,0,58,23,143
7301074743612607953,58,17,107,0,0,0
3133523479278012392,58,23,141,0,0,2
2542953027408836960,0,4,24,58,1,11
3597484476785993467,58,10,76,0,0,0
4818382309306870364,58,14,87,0,0,0
3139999521285577736,0,0,0,58,12,77
1919874817733050952,58,10,53,0,0,10
6533776984196491489,58,17,107,0,0,0
1420025217075436010,0,0,0,58,5,75
3107648587312581475,58,23,141,0,0,2
2343433192993580670,58,12,65,0,0,12
4282634434731277828,0,0,0,58,8,53
7665853549249447412,58,10,54,0,0,10
1841174857419946364,58,7,77,0,0,0
7707528008225066648,0,1,23,0,0,13
3266587225058570071,58,16,91,0,0,10
3382325020390614369,58,22,141,0,1,2
2237706596783713721,58,11,61,0,0,12
5723059602183693938,0,5,70,0,0,0
8249564178008471155,58,23,143,0,0,0
3264343855301027093,58,12,74,0,0,12
2980908745974411802,58,8,68,0,0,0
8959662572905290636,58,23,141,0,0,2
284602351764806848,58,17,105,0,0,0
1849997174339030083,0,6,32,0,0,16
8034593093060143265,58,23,143,0,0,0
6575266446222613262,0,0,0,59,23,143
3252596979112225136,58,17,105,0,0,0
1568938491008399136,0,1,23,0,0,13
2300833048210306799,58,23,141,0,0,0
6840281832376152380,58,9,72,0,0,0
3363033381817830885,0,0,0,58,23,143
6608528256001332810,58,8,66,0,0,0
5789139393467174192,0,0,0,58,23,143
3189671383209628825,58,12,73,0,0,0
1260186185512093034,58,13,83,0,0,0
3864587465792531392,58,15,79,0,0,15
2630360022847622446,0,10,40,0,0,20
4333637347652094864,58,8,44,0,0,9
79135691913174305,0,0,0,58,23,143
433914981197941777,58,23,141,0,0,2
2081149492145277731,59,23,95,0,0,47
1481424082964158585,58,11,56,0,0,11
3280015877085264302,58,23,143,0,0,0
1249893311664358027,58,11,60,0,0,12
3747425348180577836,58,23,143,0,0,0
9157415293050705102,13,8,44,0,0,9
3080093624000116489,58,23,143,0,0,0
7171547824664735781,59,23,143,0,0,0
8485659148100683543,58,23,143,0,0,0
6223026959175730540,58,23,143,0,0,0
5464330227070107573,58,13,67,0,0,13
2234064993186978722,0,5,23,0,0,10
8484946599961228763,0,0,9,0,9,45
1331024213382891761,0,10,41,0,0,20
8415343192352122349,13,13,69,0,0,13
7954700785414455852,0,12,51,0,0,24
547470593380883426,58,23,143,0,0,0
3426574863187655819,58,23,143,0,0,0
2762626927317616944,58,10,62,0,0,0
1769441067774211407,0,0,9,58,9,55
5011875935689158149,0,0,0,58,9,57
5514718260553807542,0,0,0,0,10,62
6092252540172484213,0,0,0,0,10,65
4239156448240495651,58,11,69,0,0,10
4879790923025410734,58,11,59,0,0,12
4664409648698449337,58,12,67,0,0,11
7129415797029464077,58,23,143,0,0,0
5885389123242289716,58,23,143,0,0,0
4367452526462860227,58,9,47,0,0,9
8533863999231320770,58,23,143,0,0,0
3004335085266214420,58,9,55,0,0,10
8367795568612438919,58,12,64,0,0,12
3963533944148681948,58,15,93,0,0,0
605803287923472894,13,13,69,0,0,13
4335898159996428306,0,0,0,59,23,143
6528569491489415821,58,23,143,0,0,0
2962311335535390960,58,23,143,0,0,0
8807660731712526628,58,14,74,0,0,15
2119190780373031739,58,12,64,0,0,13
5400810281617691359,0,0,0,58,12,76
7462859887803971920,58,23,143,0,0,0
6735723609903310629,58,23,143,0,0,0
4485003438929387118,0,12,64,0,0,12
9063315528495999779,0,0,0,0,11,69
9014363468164523349,58,14,71,0,1,24
9030015502573681484,59,23,143,0,0,0
8516066165731166811,58,14,89,0,0,0
7053856517129167980,58,23,143,0,0,0
3408762813100733141,59,23,143,0,0,0
6154197410436832925,58,13,95,0,7,20
4085661495429973197,58,16,81,0,0,16
6423390234262998756,58,11,69,0,0,0
1937311431873016032,59,23,143,0,0,0
7120523238505400804,58,11,59,0,0,12
8513682672913432560,58,14,74,0,0,15
2389181208276401447,58,7,35,0,0,12
6686121439004268836,58,14,73,0,0,6
2352754504700354367,58,23,143,0,0,0
2223967882112166842,58,23,143,0,0,0
5091709972241384490,58,14,72,0,0,14
2390662986465709879,59,16,93,0,0,8
3173233291474724503,0,0,0,59,12,76
7525855803088348971,58,5,38,0,0,19
852513672724603629,58,4,32,0,0,5
2819692520530320363,58,13,74,0,0,0
5179866242718108056,0,12,122,58,10,21
6422195614638300175,0,0,0,58,23,143
663034937572544197,58,8,53,0,0,0
2118894053982561987,0,0,0,58,23,143
6885256906277200009,13,13,69,0,0,13
7626544242672120819,58,23,143,0,0,0
3993684176700078396,0,0,7,0,9,45
8564909266655617318,58,12,62,0,0,8
6236032181607039940,58,23,143,0,0,0
1702724883102787898,58,23,130,0,0,0
6625667700416707893,0,0,0,58,23,143
